diameter_um,dt_s,n_steps,beta_per_s,v_terminal_mm_s,max_abs_err_y_m,max_abs_err_v_m_s,max_rel_err_y
50.0,1e-05,63,7955.801104972378,0.12943749999999996,6.617444900424221e-23,2.710505431213761e-20,1.0120839238599893e-15
50.0,5e-05,13,7955.801104972378,0.12943749999999996,6.617444900424222e-24,2.710505431213761e-20,9.737670145339775e-17
50.0,0.0001,7,7955.801104972378,0.12943749999999996,1.3234889800848443e-23,2.710505431213761e-20,1.778913439530089e-16
50.0,0.0005,2,7955.801104972378,0.12943749999999996,0.0,0.0,0.0
50.0,0.001,1,7955.801104972378,0.12943749999999996,0.0,0.0,0.0
50.0,0.005,1,7955.801104972378,0.12943749999999996,0.0,0.0,0.0
50.0,0.02,1,7955.801104972378,0.12943749999999996,0.0,0.0,0.0
